Line,Raw_Hex,Event_Mode,Row_Addr,Data_Payload_Hex
0,8000000000000ffefffffffc0000000000,2,0,00000000000ffefffffffc0000000000
1,40fffffffffff00100000003ffffffffff,1,0,fffffffffff00100000003ffffffffff
2,8100000000000ffffffffffc0000000000,2,1,00000000000ffffffffffc0000000000
3,41fffffffffff00000000003ffffffffff,1,1,fffffffffff00000000003ffffffffff
4,82000000000007fffffffffc0000000000,2,2,000000000007fffffffffc0000000000
5,42fffffffffff80000000003ffffffffff,1,2,fffffffffff80000000003ffffffffff
6,83000000000007fffffffffe0000000000,2,3,000000000007fffffffffe0000000000
7,43fffffffffff80000000001ffffffffff,1,3,fffffffffff80000000001ffffffffff
8,84000000000007fffffffffe0000000000,2,4,000000000007fffffffffe0000000000
9,44fffffffffff80000000001ffffffffff,1,4,fffffffffff80000000001ffffffffff
10,85000000000003fffffffffe0000000000,2,5,000000000003fffffffffe0000000000
11,45fffffffffffc0000000001ffffffffff,1,5,fffffffffffc0000000001ffffffffff
12,86000000000007ffffffffff0000000000,2,6,000000000007ffffffffff0000000000
13,46fffffffffff80000000000ffffffffff,1,6,fffffffffff80000000000ffffffffff
14,8700000000000dffffffffff8000000000,2,7,00000000000dffffffffff8000000000
15,47fffffffffff200000000007fffffffff,1,7,fffffffffff200000000007fffffffff
16,88000000000009ffffffffffc000000000,2,8,000000000009ffffffffffc000000000
17,48fffffffffff600000000003fffffffff,1,8,fffffffffff600000000003fffffffff
18,89000000000018ffffffffffe000000000,2,9,000000000018ffffffffffe000000000
19,49ffffffffffe700000000001fffffffff,1,9,ffffffffffe700000000001fffffffff
20,8a0000000000f87ffffffffffc00000000,2,10,0000000000f87ffffffffffc00000000
21,4affffffffff07800000000003ffffffff,1,10,ffffffffff07800000000003ffffffff
22,8b0000000003f87fffffffffff00000000,2,11,0000000003f87fffffffffff00000000
23,4bfffffffffc07800000000000ffffffff,1,11,fffffffffc07800000000000ffffffff
24,8c000000007ff03fffffffffffc0000000,2,12,000000007ff03fffffffffffc0000000
25,4cffffffff800fc000000000003fffffff,1,12,ffffffff800fc000000000003fffffff
26,8d0000001ffff03ffffc7ffffff0000000,2,13,0000001ffff03ffffc7ffffff0000000
27,4dffffffe0000fc000038000000fffffff,1,13,ffffffe0000fc000038000000fffffff
28,8e0000007ffff81ffff8fffffffc000000,2,14,0000007ffff81ffff8fffffffc000000
29,4effffff800007e0000700000003ffffff,1,14,ffffff800007e0000700000003ffffff
30,8f000003fffffc0ffff3ffffffff000000,2,15,000003fffffc0ffff3ffffffff000000
31,4ffffffc000003f0000c00000000ffffff,1,15,fffffc000003f0000c00000000ffffff
32,9000000ffffffc03ffc7ffffffff800000,2,16,00000ffffffc03ffc7ffffffff800000
33,50fffff0000003fc0038000000007fffff,1,16,fffff0000003fc0038000000007fffff
34,9100001ffffffe00fc0ffffffffff00000,2,17,00001ffffffe00fc0ffffffffff00000
35,51ffffe0000001ff03f0000000000fffff,1,17,ffffe0000001ff03f0000000000fffff
36,9200007fffff0e00003ffffffffffe0000,2,18,00007fffff0e00003ffffffffffe0000
37,52ffff800000f1ffffc00000000001ffff,1,18,ffff800000f1ffffc00000000001ffff
38,930000ffffff0f0000ffffffffffff0000,2,19,0000ffffff0f0000ffffffffffff0000
39,53ffff000000f0ffff000000000000ffff,1,19,ffff000000f0ffff000000000000ffff
40,940001ffffffcf0003d7ffffffffff8000,2,20,0001ffffffcf0003d7ffffffffff8000
41,54fffe00000030fffc2800000000007fff,1,20,fffe00000030fffc2800000000007fff
42,950003ffffffe7800f97fffffffffff000,2,21,0003ffffffe7800f97fffffffffff000
43,55fffc000000187ff06800000000000fff,1,21,fffc000000187ff06800000000000fff
44,960007fffffff3801f7ffffffffffff800,2,22,0007fffffff3801f7ffffffffffff800
45,56fff80000000c7fe080000000000007ff,1,22,fff80000000c7fe080000000000007ff
46,97000ffffffff0fe3efffffffffffffe00,2,23,000ffffffff0fe3efffffffffffffe00
47,57fff00000000f01c100000000000001ff,1,23,fff00000000f01c100000000000001ff
48,98001fffffffe07fffdfffffffffffff00,2,24,001fffffffe07fffdfffffffffffff00
49,58ffe00000001f800020000000000000ff,1,24,ffe00000001f800020000000000000ff
50,99001ffffffff07fffffffffffffffff80,2,25,001ffffffff07fffffffffffffffff80
51,59ffe00000000f8000000000000000007f,1,25,ffe00000000f8000000000000000007f
52,9a003ffffffffb3fffffffffffffffffc0,2,26,003ffffffffb3fffffffffffffffffc0
53,5affc000000004c000000000000000003f,1,26,ffc000000004c000000000000000003f
54,9b003ffffffffd9fffffffffffffffffe0,2,27,003ffffffffd9fffffffffffffffffe0
55,5bffc0000000026000000000000000001f,1,27,ffc0000000026000000000000000001f
56,9c007fffffffffcffffffffffffffffff0,2,28,007fffffffffcffffffffffffffffff0
57,5cff80000000003000000000000000000f,1,28,ff80000000003000000000000000000f
58,9d007fffffffffe7fffffffffffffffff8,2,29,007fffffffffe7fffffffffffffffff8
59,5dff800000000018000000000000000007,1,29,ff800000000018000000000000000007
60,9e00fffffffffffffffffffffffffffffc,2,30,00fffffffffffffffffffffffffffffc
61,5eff000000000000000000000000000003,1,30,ff000000000000000000000000000003
62,9f00fffffffffffffffffffffffffffffe,2,31,00fffffffffffffffffffffffffffffe
63,5fff000000000000000000000000000001,1,31,ff000000000000000000000000000001
64,a001ffffffffffffffffffffffffffffff,2,32,01ffffffffffffffffffffffffffffff
65,60fe000000000000000000000000000000,1,32,fe000000000000000000000000000000
66,a101ffffffffffffffffffffffffffffff,2,33,01ffffffffffffffffffffffffffffff
67,61fe000000000000000000000000000000,1,33,fe000000000000000000000000000000
68,a203ffffffffffffffffffffffffffffff,2,34,03ffffffffffffffffffffffffffffff
69,62fc000000000000000000000000000000,1,34,fc000000000000000000000000000000
70,a303ffffffffffffffffffffffffffffff,2,35,03ffffffffffffffffffffffffffffff
71,63fc000000000000000000000000000000,1,35,fc000000000000000000000000000000
72,a403ffffffffffffffffffffffffffffff,2,36,03ffffffffffffffffffffffffffffff
73,64fc000000000000000000000000000000,1,36,fc000000000000000000000000000000
74,a507ffffffffffffffffffffffffffffff,2,37,07ffffffffffffffffffffffffffffff
75,65f8000000000000000000000000000000,1,37,f8000000000000000000000000000000
76,a607ffffffffffffffffffffffffffffff,2,38,07ffffffffffffffffffffffffffffff
77,66f8000000000000000000000000000000,1,38,f8000000000000000000000000000000
78,a70fffffffffffffffffffffffffffffff,2,39,0fffffffffffffffffffffffffffffff
79,67f0000000000000000000000000000000,1,39,f0000000000000000000000000000000
80,a80fffffffffffffffffffffffffffffff,2,40,0fffffffffffffffffffffffffffffff
81,68f0000000000000000000000000000000,1,40,f0000000000000000000000000000000
82,a90fffffffffffffffffffffffffffffff,2,41,0fffffffffffffffffffffffffffffff
83,69f0000000000000000000000000000000,1,41,f0000000000000000000000000000000
84,aa1fffffffffffffffffffffffffffffff,2,42,1fffffffffffffffffffffffffffffff
85,6ae0000000000000000000000000000000,1,42,e0000000000000000000000000000000
86,ab1fffffffffffffffffffffffffffffff,2,43,1fffffffffffffffffffffffffffffff
87,6be0000000000000000000000000000000,1,43,e0000000000000000000000000000000
88,ac1fffffffffffffffffffffffffffffff,2,44,1fffffffffffffffffffffffffffffff
89,6ce0000000000000000000000000000000,1,44,e0000000000000000000000000000000
90,ad3fffffffffffffffffffffffffffffff,2,45,3fffffffffffffffffffffffffffffff
91,6dc0000000000000000000000000000000,1,45,c0000000000000000000000000000000
92,ae3fffffffffffffffffffffffffffffff,2,46,3fffffffffffffffffffffffffffffff
93,6ec0000000000000000000000000000000,1,46,c0000000000000000000000000000000
94,af7fffffffffffffffffffffffffffffff,2,47,7fffffffffffffffffffffffffffffff
95,6f80000000000000000000000000000000,1,47,80000000000000000000000000000000
96,b07fffffffffffffffffffffffffffffff,2,48,7fffffffffffffffffffffffffffffff
