Line,Raw_Hex,Event_Mode,Row_Addr,Data_Payload_Hex
0,8000000000fc0000000000000000000000,2,0,00000000fc0000000000000000000000
1,40ffffffff03ffffffffffffffffffffff,1,0,ffffffff03ffffffffffffffffffffff
2,811fc0007fff803c000000071e0f800000,2,1,1fc0007fff803c000000071e0f800000
3,41e03fff80007fc3fffffff8e1f07fffff,1,1,e03fff80007fc3fffffff8e1f07fffff
4,82018020ffff0038000000000603c00000,2,2,018020ffff0038000000000603c00000
5,42fe7fdf0000ffc7fffffffff9fc3fffff,1,2,fe7fdf0000ffc7fffffffff9fc3fffff
6,8300007fffff0038000000000003e01cc0,2,3,00007fffff0038000000000003e01cc0
7,43ffff800000ffc7fffffffffffc1fe33f,1,3,ffff800000ffc7fffffffffffc1fe33f
8,8400007ffffe0000000000000000fe1ec0,2,4,00007ffffe0000000000000000fe1ec0
9,44ffff800001ffffffffffffffff01e13f,1,4,ffff800001ffffffffffffffff01e13f
10,850001fffffc000000061e000000ff0780,2,5,0001fffffc000000061e000000ff0780
11,45fffe000003fffffff9e1ffffff00f87f,1,5,fffe000003fffffff9e1ffffff00f87f
12,860007fffffc0000000e1e0000007f0400,2,6,0007fffffc0000000e1e0000007f0400
13,46fff8000003fffffff1e1ffffff80fbff,1,6,fff8000003fffffff1e1ffffff80fbff
14,87000ffffffc000000062e0000007f3c00,2,7,000ffffffc000000062e0000007f3c00
15,47fff0000003fffffff9d1ffffff80c3ff,1,7,fff0000003fffffff9d1ffffff80c3ff
16,88001ffffffc000007c0200000003f3800,2,8,001ffffffc000007c0200000003f3800
17,48ffe0000003fffff83fdfffffffc0c7ff,1,8,ffe0000003fffff83fdfffffffc0c7ff
18,8901fffffffc00007ff800000000000000,2,9,01fffffffc00007ff800000000000000
19,49fe00000003ffff8007ffffffffffffff,1,9,fe00000003ffff8007ffffffffffffff
20,8a03fffffff80003ffff8c700000000000,2,10,03fffffff80003ffff8c700000000000
21,4afc00000007fffc0000738fffffffffff,1,10,fc00000007fffc0000738fffffffffff
22,8b07fffffff8000fffffe7f00000006000,2,11,07fffffff8000fffffe7f00000006000
23,4bf800000007fff00000180fffffff9fff,1,11,f800000007fff00000180fffffff9fff
24,8c07fffffe00001ffffffff0000003f000,2,12,07fffffe00001ffffffff0000003f000
25,4cf8000001ffffe00000000ffffffc0fff,1,12,f8000001ffffe00000000ffffffc0fff
26,8d07fffffc00007ffffffff0002e67e000,2,13,07fffffc00007ffffffff0002e67e000
27,4df8000003ffff800000000fffd1981fff,1,13,f8000003ffff800000000fffd1981fff
28,8e0ffffff0000cfffffffff0007c67f000,2,14,0ffffff0000cfffffffff0007c67f000
29,4ef000000ffff3000000000fff83980fff,1,14,f000000ffff3000000000fff83980fff
30,8f0fffffc0000fffffffffe00018643808,2,15,0fffffc0000fffffffffe00018643808
31,4ff000003ffff0000000001fffe79bc7f7,1,15,f000003ffff0000000001fffe79bc7f7
32,900fffff1c003ffffffffff00000007e00,2,16,0fffff1c003ffffffffff00000007e00
33,50f00000e3ffc0000000000fffffff81ff,1,16,f00000e3ffc0000000000fffffff81ff
34,911ffffe3f003ffffffffff80000001f00,2,17,1ffffe3f003ffffffffff80000001f00
35,51e00001c0ffc00000000007ffffffe0ff,1,17,e00001c0ffc00000000007ffffffe0ff
36,920ffffe3fc03dfffffffffc0000001e12,2,18,0ffffe3fc03dfffffffffc0000001e12
37,52f00001c03fc20000000003ffffffe1ed,1,18,f00001c03fc20000000003ffffffe1ed
38,9307ffff3ffc7bfffffffffc000080181e,2,19,07ffff3ffc7bfffffffffc000080181e
39,53f80000c003840000000003ffff7fe7e1,1,19,f80000c003840000000003ffff7fe7e1
