CH3  CH2  CH1  CH0
2aa  2aa  2aa  2aa
3cc  3cc  3cc  3cc
3cc  3cc  3cc  3cc
3ff  3ff  3c0  300
3cc  3cc  3cc  3cc
3cc  3cc  3cc  3cc
0ff  0ff  000  000
3cc  3cc  3cc  3cc
0ff  0ff  000  000
3cc  3cc  3cc  3cc
3cc  3cc  3cc  3cc
3cc  0ff  3cc  3cc
3cc  3cc  3cc  3cc
3cc  3cc  3cc  3cc
0ff  0ff  3cc  000
3cc  3cc  3cc  3cc
3cc  3cc  3cc  3cc
0ff  0ff  000  000
3cc  3cc  3cc  3cc
3cc  3cc  3cc  3cc
3cc  3cc  000  000
3cc  3cc  3cc  3cc
3cc  3cc  3cc  3cc
0ff  0ff  3cc  000
3cc  3cc  3cc  3cc
3cc  3cc  3cc  3cc
0ff  3cc  000  000
3cc  3cc  3cc  3cc
3cc  3cc  3cc  3cc
0ff  0ff  000  100
3cc  3cc  3cc  3cc
3cc  3cc  3cc  3cc
1ff  1ff  000  000
3cc  3cc  3cc  3cc
3cc  3cc  3cc  3cc
3cc  0ff  1c0  000
3cc  3cc  3cc  3cc
0ff  0ff  000  000
3cc  3cc  3cc  3cc
3cc  3cc  3cc  3cc
0ff  0ff  000  000
3cc  3cc  3cc  3cc
3cc  3cc  3cc  3cc
0ff  0ff  000  3cc
3cc  3cc  3cc  3cc
3cc  3cc  3cc  3cc
0ff  0ff  000  000
3cc  3cc  3cc  3cc
3cc  3cc  3cc  3cc
3cc  0ff  000  000
3cc  3cc  3cc  3cc
3cc  3cc  3cc  3cc
0ff  3cc  000  3cc
3cc  3cc  3cc  3cc
3cc  3cc  3cc  3cc
0ff  0ff  3cc  000
3cc  3cc  3cc  3cc
3cc  3cc  3cc  3cc
3cc  100  000  100
3cc  3cc  3cc  3cc
3cc  3cc  3cc  3cc
3cc  000  1c0  000
3cc  3cc  3cc  3cc
3cc  3cc  3cc  3cc
3cc  00f  000  3cc
3cc  3cc  3cc  3cc
3cc  3cc  000  000
3cc  3cc  3cc  3cc
3cc  3cc  3cc  3cc
0ff  000  3cc  000
3cc  3cc  3cc  3cc
3cc  3cc  3cc  3cc
1c0  000  000  000
3cc  3cc  3cc  3cc
3cc  3cc  3cc  3cc
000  3cc  000  000
3cc  3cc  3cc  3cc
3cc  3cc  3cc  3cc
000  000  000  000
3cc  3cc  3cc  3cc
3cc  3cc  3cc  3cc
3cc  000  3cc  000
3cc  3cc  3cc  3cc
3cc  3cc  3cc  3cc
000  000  000  3cc
3cc  3cc  3cc  3cc
3cc  3cc  3cc  3cc
3cc  100  000  100
3cc  3cc  3cc  3cc
3cc  3cc  3cc  3cc
000  000  3cc  000
3cc  3cc  3cc  3cc
3cc  3cc  3cc  3cc
078  00f  1c0  000
3cc  3cc  3cc  3cc
000  000  000  000
3cc  3cc  3cc  3cc
3cc  3cc  3cc  3cc
3cc  000  000  3cc
3cc  3cc  3cc  3cc
3cc  3cc  3cc  3cc
3cc  000  000  000
3cc  3cc  3cc  3cc
3cc  3cc  3cc  3cc
000  000  000  000
3cc  3cc  3cc  3cc
3cc  3cc  3cc  3cc
1c0  3cc  000  000
3cc  3cc  3cc  3cc
3cc  3cc  3cc  3cc
3cc  000  000  000
3cc  3cc  3cc  3cc
3cc  3cc  3cc  3cc
000  100  000  100
3cc  3cc  3cc  3cc
3cc  3cc  3cc  3cc
000  3cc  1c0  000
3cc  3cc  3cc  3cc
3cc  3cc  3cc  3cc
000  000  000  000
3cc  3cc  3cc  3cc
3cc  3cc  3cc  3cc
000  00f  3cc  000
3cc  3cc  3cc  3cc
3cc  000  000  000
3cc  3cc  3cc  3cc
3cc  3cc  3cc  3cc
078  000  000  3cc
3cc  3cc  3cc  3cc
3cc  3cc  3cc  3cc
3cc  000  000  000
3cc  3cc  3cc  3cc
3cc  3cc  3cc  3cc
000  000  000  000
3cc  3cc  3cc  3cc
3cc  3cc  3cc  3cc
000  000  000  000
3cc  3cc  3cc  3cc
3cc  3cc  3cc  3cc
1c0  100  000  3cc
3cc  3cc  3cc  3cc
3cc  3cc  3cc  3cc
3cc  000  1c0  100
3cc  3cc  3cc  3cc
3cc  3cc  3cc  3cc
3cc  00f  000  000
3cc  3cc  3cc  3cc
3cc  3cc  3cc  3cc
000  000  000  3cc
3cc  3cc  3cc  3cc
3cc  3cc  3cc  3cc
3cc  3cc  000  000
3cc  3cc  3cc  3cc
000  3cc  000  000
3cc  3cc  3cc  3cc
3cc  3cc  3cc  3cc
000  000  3cc  000
3cc  3cc  3cc  3cc
3cc  3cc  3cc  3cc
000  000  000  000
3cc  3cc  3cc  3cc
3cc  3cc  3cc  3cc
3cc  3cc  000  000
3cc  3cc  3cc  3cc
3cc  3cc  3cc  3cc
3cc  3cc  3cc  000
3cc  3cc  3cc  3cc
3cc  3cc  3cc  3cc
078  000  000  100
3cc  3cc  3cc  3cc
3cc  3cc  3cc  3cc
3cc  3cc  1c0  000
3cc  3cc  3cc  3cc
3cc  3cc  3cc  3cc
000  000  3cc  000
3cc  3cc  3cc  3cc
3cc  3cc  3cc  3cc
000  3cc  000  000
3cc  3cc  3cc  3cc
3cc  3cc  3cc  3cc
3cc  100  3cc  000
3cc  3cc  3cc  3cc
1c0  000  000  3cc
3cc  3cc  3cc  3cc
3cc  3cc  3cc  3cc
3cc  00f  000  000
3cc  3cc  3cc  3cc
3cc  3cc  3cc  3cc
3cc  000  3cc  000
3cc  3cc  3cc  3cc
3cc  3cc  3cc  3cc
000  000  000  000
3cc  3cc  3cc  3cc
3cc  3cc  3cc  3cc
000  000  000  100
3cc  3cc  3cc  3cc
3cc  3cc  3cc  3cc
000  000  000  3cc
3cc  3cc  3cc  3cc
3cc  3cc  3cc  3cc
000  3cc  000  000
3cc  3cc  3cc  3cc
3cc  3cc  3cc  3cc
078  3cc  3cc  000
3cc  3cc  3cc  3cc
3cc  3cc  3cc  3cc
3cc  000  1c0  000
3cc  3cc  3cc  3cc
3cc  3cc  3cc  3cc
000  100  000  000
3cc  3cc  3cc  3cc
000  000  3cc  000
3cc  3cc  3cc  3cc
3cc  3cc  3cc  3cc
3cc  007  000  000
3cc  3cc  3cc  3cc
3cc  3cc  3cc  3cc
1c0  080  3cc  000
3cc  3cc  3cc  3cc
3cc  3cc  3cc  3cc
000  000  000  3cc
3cc  3cc  3cc  3cc
3cc  3cc  3cc  3cc
3cc  000  000  100
3cc  3cc  3cc  3cc
3cc  3cc  3cc  3cc
000  000  000  000
3cc  3cc  3cc  3cc
3cc  3cc  3cc  3cc
000  000  000  000
